Trait,Condition
lower_grade_glioma_and_glioblastoma,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,lower_grade_glioma_and_glioblastoma
Coronary_artery_disease,Obesity
Obesity,Coronary_artery_disease
Endometriosis,Liver_Cancer
Liver_Cancer,Endometriosis
COVID-19,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,COVID-19
Chronic_obstructive_pulmonary_disease_(COPD),COVID-19
COVID-19,Chronic_obstructive_pulmonary_disease_(COPD)
Osteoarthritis,Thyroid_Cancer
Thyroid_Cancer,Osteoarthritis
Parkinsons_Disease,Inflammatory_Disorders
Inflammatory_Disorders,Parkinsons_Disease
Osteoarthritis,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Osteoarthritis
Osteoarthritis,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Osteoarthritis
Kidney_Papillary_Cell_Carcinoma,Liver_Cancer
Liver_Cancer,Kidney_Papillary_Cell_Carcinoma
Esophageal_Cancer,Pancreatic_Cancer
Pancreatic_Cancer,Esophageal_Cancer
Type_1_Diabetes_Risk,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Type_1_Diabetes_Risk
Chronic_kidney_disease,COVID-19
COVID-19,Chronic_kidney_disease
Esophageal_Cancer,Endometriosis
Endometriosis,Esophageal_Cancer
Glucocorticoid_Sensitivity,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Glucocorticoid_Sensitivity
Liver_Cancer,Pancreatic_Cancer
Pancreatic_Cancer,Liver_Cancer
lower_grade_glioma_and_glioblastoma,Rectal_Cancer
Rectal_Cancer,lower_grade_glioma_and_glioblastoma
Esophageal_Cancer,Thyroid_Cancer
Thyroid_Cancer,Esophageal_Cancer
Coronary_artery_disease,Atrial_Fibrillation
Atrial_Fibrillation,Coronary_artery_disease
Lower_Grade_Glioma,Asthma
Asthma,Lower_Grade_Glioma
Liver_Cancer,Osteoarthritis
Osteoarthritis,Liver_Cancer
Lung_Cancer,Gender
Ankylosing_Spondylitis,Susceptibility_to_Infections
Susceptibility_to_Infections,Ankylosing_Spondylitis
Bladder_Cancer,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Bladder_Cancer
Chronic_kidney_disease,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Chronic_kidney_disease
Coronary_artery_disease,COVID-19
COVID-19,Coronary_artery_disease
COVID-19,Lung_Cancer
Lung_Cancer,COVID-19
Sjögrens_Syndrome,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Sjögrens_Syndrome
Osteoporosis,Osteoarthritis
Osteoarthritis,Osteoporosis
Lupus_(Systemic_Lupus_Erythematosus),Age
Parkinsons_Disease,Lung_Cancer
Lung_Cancer,Parkinsons_Disease
Post-Traumatic_Stress_Disorder,Generalized_Anxiety_Disorder
Generalized_Anxiety_Disorder,Post-Traumatic_Stress_Disorder
Inflammatory_Disorders,Bladder_Cancer
Bladder_Cancer,Inflammatory_Disorders
Osteoarthritis,Chronic_kidney_disease
Chronic_kidney_disease,Osteoarthritis
Cervical_Cancer,Age
Atrial_Fibrillation,Chronic_kidney_disease
Chronic_kidney_disease,Atrial_Fibrillation
Lung_Cancer,Crohns_Disease
Crohns_Disease,Lung_Cancer
Chronic_kidney_disease,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Chronic_kidney_disease
Thyroid_Cancer,HIV_Resistance
HIV_Resistance,Thyroid_Cancer
Osteoarthritis,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Osteoarthritis
HIV_Resistance,Liver_Cancer
Liver_Cancer,HIV_Resistance
Lupus_(Systemic_Lupus_Erythematosus),Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Lupus_(Systemic_Lupus_Erythematosus)
COVID-19,Endometriosis
Endometriosis,COVID-19
Thyroid_Cancer,Liver_Cancer
Liver_Cancer,Thyroid_Cancer
Lower_Grade_Glioma,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Lower_Grade_Glioma
Parkinsons_Disease,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Parkinsons_Disease
Chronic_kidney_disease,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Chronic_kidney_disease
Susceptibility_to_Infections,Liver_cirrhosis
Liver_cirrhosis,Susceptibility_to_Infections
Glucocorticoid_Sensitivity,Lower_Grade_Glioma
Lower_Grade_Glioma,Glucocorticoid_Sensitivity
Breast_Cancer,Obesity
Obesity,Breast_Cancer
Susceptibility_to_Infections,Endometriosis
Endometriosis,Susceptibility_to_Infections
Crohns_Disease,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Crohns_Disease
Type_1_Diabetes_Risk,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Type_1_Diabetes_Risk
COVID-19,Gender
Endometriosis,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Endometriosis
Susceptibility_to_Infections,Lung_Cancer
Lung_Cancer,Susceptibility_to_Infections
Large_B-cell_Lymphoma,HIV_Resistance
HIV_Resistance,Large_B-cell_Lymphoma
Asthma,Pancreatic_Cancer
Pancreatic_Cancer,Asthma
lower_grade_glioma_and_glioblastoma,HIV_Resistance
HIV_Resistance,lower_grade_glioma_and_glioblastoma
Type_1_Diabetes_Risk,Susceptibility_to_Infections
Susceptibility_to_Infections,Type_1_Diabetes_Risk
lower_grade_glioma_and_glioblastoma,Endometrioid_Cancer
Endometrioid_Cancer,lower_grade_glioma_and_glioblastoma
Chronic_obstructive_pulmonary_disease_(COPD),Obstructive_sleep_apnea
Obstructive_sleep_apnea,Chronic_obstructive_pulmonary_disease_(COPD)
Ankylosing_Spondylitis,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Ankylosing_Spondylitis
Ankylosing_Spondylitis,Psoriatic_Arthritis
Psoriatic_Arthritis,Ankylosing_Spondylitis
Chronic_kidney_disease,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Chronic_kidney_disease
Inflammatory_Disorders,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Inflammatory_Disorders
Susceptibility_to_Infections,HIV_Resistance
HIV_Resistance,Susceptibility_to_Infections
Type_1_Diabetes_Risk,Thyroid_Cancer
Thyroid_Cancer,Type_1_Diabetes_Risk
Cystic_Fibrosis,Susceptibility_to_Infections
Susceptibility_to_Infections,Cystic_Fibrosis
Crohns_Disease,COVID-19
COVID-19,Crohns_Disease
Inflammatory_Disorders,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Inflammatory_Disorders
Asthma,Chronic_kidney_disease
Chronic_kidney_disease,Asthma
Asthma,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Asthma
Large_B-cell_Lymphoma,Liver_Cancer
Liver_Cancer,Large_B-cell_Lymphoma
Cervical_Cancer,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Cervical_Cancer
HIV_Resistance,Chronic_kidney_disease
Chronic_kidney_disease,HIV_Resistance
Head_and_Neck_Cancer,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Head_and_Neck_Cancer
Liver_cirrhosis,Inflammatory_Disorders
Inflammatory_Disorders,Liver_cirrhosis
Coronary_artery_disease,Lower_Grade_Glioma
Lower_Grade_Glioma,Coronary_artery_disease
Inflammatory_Disorders,Cervical_Cancer
Cervical_Cancer,Inflammatory_Disorders
Ankylosing_Spondylitis,COVID-19
COVID-19,Ankylosing_Spondylitis
Liver_Cancer,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Liver_Cancer
Inflammatory_Disorders,Liver_Cancer
Bladder_Cancer,Asthma
Asthma,Bladder_Cancer
Liver_Cancer,Inflammatory_Disorders
Chronic_kidney_disease,Crohns_Disease
Crohns_Disease,Chronic_kidney_disease
Cystic_Fibrosis,COVID-19
COVID-19,Cystic_Fibrosis
Inflammatory_Disorders,Thyroid_Cancer
Thyroid_Cancer,Inflammatory_Disorders
lower_grade_glioma_and_glioblastoma,Gender
Pancreatic_Cancer,Obesity
Obesity,Pancreatic_Cancer
Sjögrens_Syndrome,COVID-19
COVID-19,Sjögrens_Syndrome
Sjögrens_Syndrome,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Sjögrens_Syndrome
Pancreatic_Cancer,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Pancreatic_Cancer
lower_grade_glioma_and_glioblastoma,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),lower_grade_glioma_and_glioblastoma
Lower_Grade_Glioma,COVID-19
COVID-19,Lower_Grade_Glioma
COVID-19,Liver_cirrhosis
Liver_cirrhosis,COVID-19
Chronic_kidney_disease,Age
Type_1_Diabetes_Risk,Esophageal_Cancer
Esophageal_Cancer,Type_1_Diabetes_Risk
Asthma,Obesity
Obesity,Asthma
Crohns_Disease,Endometriosis
Endometriosis,Crohns_Disease
Esophageal_Cancer,HIV_Resistance
HIV_Resistance,Esophageal_Cancer
Substance_Use_Disorder,Anxiety_disorder
Anxiety_disorder,Substance_Use_Disorder
Inflammatory_Disorders,Osteoporosis
Osteoporosis,Inflammatory_Disorders
Obstructive_sleep_apnea,Gender
Coronary_artery_disease,Pancreatic_Cancer
Pancreatic_Cancer,Coronary_artery_disease
Head_and_Neck_Cancer,Endometriosis
Endometriosis,Head_and_Neck_Cancer
Osteoporosis,Gender
Lower_Grade_Glioma,Crohns_Disease
Crohns_Disease,Lower_Grade_Glioma
Lower_Grade_Glioma,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Lower_Grade_Glioma
Atrial_Fibrillation,Obstructive_sleep_apnea
Obstructive_sleep_apnea,Atrial_Fibrillation
Susceptibility_to_Infections,Chronic_kidney_disease
Chronic_kidney_disease,Susceptibility_to_Infections
HIV_Resistance,Crohns_Disease
Crohns_Disease,HIV_Resistance
Chronic_obstructive_pulmonary_disease_(COPD),Liver_cirrhosis
Liver_cirrhosis,Chronic_obstructive_pulmonary_disease_(COPD)
Asthma,Cervical_Cancer
Cervical_Cancer,Asthma
Large_B-cell_Lymphoma,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Large_B-cell_Lymphoma
Osteoporosis,Coronary_artery_disease
Coronary_artery_disease,Osteoporosis
Head_and_Neck_Cancer,Lung_Cancer
Lung_Cancer,Head_and_Neck_Cancer
lower_grade_glioma_and_glioblastoma,COVID-19
COVID-19,lower_grade_glioma_and_glioblastoma
Osteoporosis,Endometriosis
Endometriosis,Osteoporosis
Osteoporosis,Lung_Cancer
Lung_Cancer,Osteoporosis
Glucocorticoid_Sensitivity,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Glucocorticoid_Sensitivity
Coronary_artery_disease,Bladder_Cancer
Bladder_Cancer,Coronary_artery_disease
Liver_Cancer,Head_and_Neck_Cancer
Head_and_Neck_Cancer,Liver_Cancer
Lower_Grade_Glioma,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Lower_Grade_Glioma
Cystic_Fibrosis,Asthma
Asthma,Cystic_Fibrosis
Colon_and_Rectal_Cancer,Head_and_Neck_Cancer
Head_and_Neck_Cancer,Colon_and_Rectal_Cancer
Rectal_Cancer,Lower_Grade_Glioma
Lower_Grade_Glioma,Rectal_Cancer
Lower_Grade_Glioma,Endometrioid_Cancer
Endometrioid_Cancer,Lower_Grade_Glioma
Susceptibility_to_Infections,Coronary_artery_disease
Coronary_artery_disease,Susceptibility_to_Infections
Large_B-cell_Lymphoma,Bladder_Cancer
Bladder_Cancer,Large_B-cell_Lymphoma
Asthma,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Asthma
Atrial_Fibrillation,Inflammatory_Disorders
Inflammatory_Disorders,Atrial_Fibrillation
COVID-19,HIV_Resistance
HIV_Resistance,COVID-19
Obstructive_sleep_apnea,Chronic_kidney_disease
Chronic_kidney_disease,Obstructive_sleep_apnea
Sjögrens_Syndrome,Inflammatory_Disorders
Inflammatory_Disorders,Sjögrens_Syndrome
Susceptibility_to_Infections,Lower_Grade_Glioma
Lower_Grade_Glioma,Susceptibility_to_Infections
Kidney_Papillary_Cell_Carcinoma,Asthma
Asthma,Kidney_Papillary_Cell_Carcinoma
Celiac_Disease,Sjögrens_Syndrome
Sjögrens_Syndrome,Celiac_Disease
Liver_cirrhosis,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Liver_cirrhosis
Chronic_kidney_disease,Osteoporosis
Osteoporosis,Chronic_kidney_disease
Liver_Cancer,Chronic_kidney_disease
Chronic_kidney_disease,Liver_Cancer
Chronic_obstructive_pulmonary_disease_(COPD),Inflammatory_Disorders
Inflammatory_Disorders,Chronic_obstructive_pulmonary_disease_(COPD)
Parkinsons_Disease,Age
Kidney_Papillary_Cell_Carcinoma,Coronary_artery_disease
Coronary_artery_disease,Kidney_Papillary_Cell_Carcinoma
Ankylosing_Spondylitis,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Ankylosing_Spondylitis
Chronic_obstructive_pulmonary_disease_(COPD),Gender
Atrial_Fibrillation,Gender
Pancreatic_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Pancreatic_Cancer
Osteoarthritis,Esophageal_Cancer
Esophageal_Cancer,Osteoarthritis
Cystic_Fibrosis,Chronic_kidney_disease
Chronic_kidney_disease,Cystic_Fibrosis
Asthma,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Asthma
Osteoarthritis,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Osteoarthritis
Coronary_artery_disease,Crohns_Disease
Crohns_Disease,Coronary_artery_disease
lower_grade_glioma_and_glioblastoma,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Liver_cirrhosis
Liver_cirrhosis,lower_grade_glioma_and_glioblastoma
Osteoarthritis,Crohns_Disease
Crohns_Disease,Osteoarthritis
Lupus_(Systemic_Lupus_Erythematosus),Bladder_Cancer
Bladder_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Gender
Lower_Grade_Glioma,Osteoporosis
Osteoporosis,Lower_Grade_Glioma
